OBJECTID_1,Country_Co,CN_DT_Code,STATE,D_NAME_1
702,PK,PAK_1331,KHYBER PAKHTUNKHWA,Kurram
703,PK,PAK_1365,PUNJAB (PK),Lahore
704,PK,PAK_1332,KHYBER PAKHTUNKHWA,Lakki Marwat
705,PK,PAK_1394,SINDH,Larkana
706,PK,PAK_1294,BALOCHISTAN,Las Bela
707,PK,PAK_1366,PUNJAB (PK),Layyah
708,PK,PAK_1295,BALOCHISTAN,Lehri
709,PK,PAK_1367,PUNJAB (PK),Lodhran
710,PK,PAK_1296,BALOCHISTAN,Loralai
711,PK,PAK_1333,KHYBER PAKHTUNKHWA,Lower Dir
712,PK,PAK_1334,KHYBER PAKHTUNKHWA,Malakand PA
713,PK,PAK_1368,PUNJAB (PK),Mandi Bahauddin
714,PK,PAK_1335,KHYBER PAKHTUNKHWA,Mansehra
715,PK,PAK_1336,KHYBER PAKHTUNKHWA,Mardan
716,PK,PAK_1297,BALOCHISTAN,Mastung
717,PK,PAK_1395,SINDH,Matiari
718,PK,PAK_1369,PUNJAB (PK),Mianwali
719,PK,PAK_1396,SINDH,Mirpur Khas
720,PK,PAK_1337,KHYBER PAKHTUNKHWA,Mohmand
721,PK,PAK_1370,PUNJAB (PK),Multan
722,PK,PAK_1298,BALOCHISTAN,Musakhel
723,PK,PAK_1371,PUNJAB (PK),Muzaffargarh
724,PK,PAK_1372,PUNJAB (PK),Nankana Sahib
725,PK,PAK_1373,PUNJAB (PK),Narowal
726,PK,PAK_1299,BALOCHISTAN,Nasirabad
727,PK,PAK_1397,SINDH,Naushahro Feroze
728,PK,PAK_1338,KHYBER PAKHTUNKHWA,North Waziristan
729,PK,PAK_1339,KHYBER PAKHTUNKHWA,Nowshera
730,PK,PAK_1300,BALOCHISTAN,Nushki
731,PK,PAK_1374,PUNJAB (PK),Okara
732,PK,PAK_1340,KHYBER PAKHTUNKHWA,Orakzai
733,PK,PAK_1375,PUNJAB (PK),Pakpattan
734,PK,PAK_1301,BALOCHISTAN,Panjgur
735,PK,PAK_1341,KHYBER PAKHTUNKHWA,Peshawar
736,PK,PAK_1302,BALOCHISTAN,Pishin
737,PK,PAK_1398,SINDH,Qambar Shahdadkot
738,PK,PAK_1303,BALOCHISTAN,Quetta
739,PK,PAK_1376,PUNJAB (PK),Rahim Yar Khan
740,PK,PAK_1377,PUNJAB (PK),Rajanpur
741,PK,PAK_1378,PUNJAB (PK),Rawalpindi
742,PK,PAK_1379,PUNJAB (PK),Sahiwal
743,PK,PAK_1399,SINDH,Sanghar
744,PK,PAK_1380,PUNJAB (PK),Sargodha
745,PK,PAK_1400,SINDH,Shaheed Benazirabad
746,PK,PAK_1342,KHYBER PAKHTUNKHWA,Shangla
747,PK,PAK_1304,BALOCHISTAN,Sheerani
748,PK,PAK_1381,PUNJAB (PK),Sheikhupura
749,PK,PAK_1401,SINDH,Shikarpur
750,PK,PAK_1382,PUNJAB (PK),Sialkot
751,PK,PAK_1305,BALOCHISTAN,Sibi
752,PK,PAK_1306,BALOCHISTAN,Sohbatpur
753,PK,PAK_1343,KHYBER PAKHTUNKHWA,South Waziristan
754,PK,PAK_1402,SINDH,Sujawal
755,PK,PAK_1403,SINDH,Sukkur
756,PK,PAK_1344,KHYBER PAKHTUNKHWA,Swabi
757,PK,PAK_1345,KHYBER PAKHTUNKHWA,Swat
758,PK,PAK_1404,SINDH,Tando Allah Yar
759,PK,PAK_1405,SINDH,Tando Muhammad Khan
760,PK,PAK_1346,KHYBER PAKHTUNKHWA,Tank
761,PK,PAK_1406,SINDH,Tharparkar
762,PK,PAK_1407,SINDH,Thatta
763,PK,PAK_1383,PUNJAB (PK),Toba Tek Singh
764,PK,PAK_1347,KHYBER PAKHTUNKHWA,Tor Ghar
765,PK,PAK_1408,SINDH,Umerkot
766,PK,PAK_1348,KHYBER PAKHTUNKHWA,Upper Dir
767,PK,PAK_1384,PUNJAB (PK),Vehari
768,PK,PAK_1307,BALOCHISTAN,Washuk
769,PK,PAK_1308,BALOCHISTAN,Zhob
770,PK,PAK_1309,BALOCHISTAN,Ziarat
771,LK,SLK_1423,NORTHERN PROVINCE,Jaffna District
772,LK,SLK_1424,NORTHERN PROVINCE,Kilinochchi District
773,LK,SLK_1425,NORTHERN PROVINCE,Mannar District
774,LK,SLK_1426,NORTHERN PROVINCE,Mullaitivu District
775,LK,SLK_1429,NORTHERN PROVINCE,Vavuniya District
776,LK,SLK_1431,SOUTHERN PROVINCE,Galle District
777,LK,SLK_1417,SOUTHERN PROVINCE,Hambantota District
778,LK,SLK_1433,SOUTHERN PROVINCE,Matara District
779,LK,SLK_1414,EASTERN PROVINCE,Ampara District
780,LK,SLK_1422,NORTHERN PROVINCE,Anuradhapura District
781,LK,SLK_1415,UVA PROVINCE,Badulla District
782,LK,SLK_1416,EASTERN PROVINCE,Batticaloa District
783,LK,SLK_1419,UVA PROVINCE,Monaragala District
784,LK,SLK_1420,NORTH CENTRAL PROVINCE,Polonnaruwa District
785,LK,SLK_1430,WESTERN PROVINCE,Colombo District
786,LK,SLK_1421,WESTERN PROVINCE,Gampaha District
787,LK,SLK_1432,WESTERN PROVINCE,Kalutara District
788,LK,SLK_1410,SABARAGAMUWA PROVINCE,Kegalle District
789,LK,SLK_1411,NORTH WESTERN PROVINCE,Kurunegala District
790,LK,SLK_1427,NORTH WESTERN PROVINCE,Puttalam District
791,LK,SLK_1413,SABARAGAMUWA PROVINCE,Ratnapura District
792,LK,SLK_1409,CENTRAL PROVINCE,Kandy District
793,LK,SLK_1418,CENTRAL PROVINCE,Matale District
794,LK,SLK_1412,CENTRAL PROVINCE,Nuwara Eliya District
795,LK,SLK_1428,EASTERN PROVINCE,Trincomalee District
796,IN,IND_484,ANDAMAN & NICOBAR,North  & Middle Andaman
797,IN,IND_485,ANDAMAN & NICOBAR,South Andaman
798,IN,IND_483,ANDAMAN & NICOBAR,Nicobars
799,IN,IND_494,ANDHRA PRADESH,Srikakulam
800,IN,IND_496,ANDHRA PRADESH,Vizianagaram
801,IN,IND_495,ANDHRA PRADESH,Visakhapatnam
802,IN,IND_490,ANDHRA PRADESH,Krishna
803,IN,IND_489,ANDHRA PRADESH,Guntur
804,IN,IND_488,ANDHRA PRADESH,East Godavari
805,IN,IND_492,ANDHRA PRADESH,Prakasam
806,IN,IND_491,ANDHRA PRADESH,Kurnool
807,IN,IND_486,ANDHRA PRADESH,Anantapur
808,IN,IND_493,ANDHRA PRADESH,Sri Potti Sriramulu Nell*
809,IN,IND_497,ANDHRA PRADESH,West Godavari
810,IN,IND_498,ANDHRA PRADESH,Y.S.R.
811,IN,IND_487,ANDHRA PRADESH,Chittoor
812,IN,IND_516,ARUNACHAL PRADESH,Upper Subansiri
813,IN,IND_499,ARUNACHAL PRADESH,Anjaw
814,IN,IND_500,ARUNACHAL PRADESH,Changlang
815,IN,IND_512,ARUNACHAL PRADESH,Tawang
816,IN,IND_510,ARUNACHAL PRADESH,Papum Pare
817,IN,IND_513,ARUNACHAL PRADESH,Tirap
818,IN,IND_502,ARUNACHAL PRADESH,East Siang
819,IN,IND_505,ARUNACHAL PRADESH,Lohit
820,IN,IND_504,ARUNACHAL PRADESH,Kurung Kumey
821,IN,IND_508,ARUNACHAL PRADESH,Lower Subansiri
822,IN,IND_501,ARUNACHAL PRADESH,East Kameng
823,IN,IND_517,ARUNACHAL PRADESH,West Kameng
824,IN,IND_503,ARUNACHAL PRADESH,Kra Daadi
825,IN,IND_509,ARUNACHAL PRADESH,Namsai
826,IN,IND_506,ARUNACHAL PRADESH,Longding
827,IN,IND_515,ARUNACHAL PRADESH,Upper Siang
828,IN,IND_518,ARUNACHAL PRADESH,West Siang
829,IN,IND_514,ARUNACHAL PRADESH,Upper Dibang Valley
830,IN,IND_507,ARUNACHAL PRADESH,Lower Dibang Valley
831,IN,IND_511,ARUNACHAL PRADESH,Siang
832,IN,IND_550,ASSAM,Tinsukia
833,IN,IND_527,ASSAM,Dhemaji
834,IN,IND_529,ASSAM,Dibrugarh
835,IN,IND_542,ASSAM,Lakhimpur
836,IN,IND_547,ASSAM,Sivasagar
837,IN,IND_535,ASSAM,Jorhat
838,IN,IND_548,ASSAM,Sonitpur
839,IN,IND_532,ASSAM,Golaghat
840,IN,IND_551,ASSAM,Udalguri
841,IN,IND_525,ASSAM,Chirang
842,IN,IND_519,ASSAM,Baksa
843,IN,IND_545,ASSAM,Nagaon
844,IN,IND_541,ASSAM,Kokrajhar
845,IN,IND_526,ASSAM,Darrang
846,IN,IND_520,ASSAM,Barpeta
847,IN,IND_546,ASSAM,Nalbari
848,IN,IND_544,ASSAM,Morigaon
849,IN,IND_536,ASSAM,Kamrup
850,IN,IND_522,ASSAM,Bongaigaon
